1583-რს	150	86	64	0	 
1584-რს	150	84	66	0	 
1585-რს	150	87	63	0	 
1586-რს	150	87	63	0	 
1587-რს	150	87	63	0	 
1588-რს	150	86	64	0	 
1589-რს	150	88	61	1	 
1590-რს	150	88	62	0	 
1591-რს	150	87	63	0	 
1592-რს	150	86	64	0	 
1593-რს	150	82	68	0	 
1594-რს	150	83	67	0	 
1595-რს	150	84	66	0	 
1596-რს	150	85	65	0	 
1597-რს	150	82	68	0	 
1598-რს	150	83	67	0	 
1599-რს	150	82	68	0	 
1600-რს	150	84	66	0	 
1627-რს	150	84	66	0	 
1628-რს	150	84	66	0	 
1629-რს	150	84	66	0	 
1630-რს	150	85	65	0	 
173-რს	147	79	67	1	59	 
174-რს	147	98	48	1	58	 
187-რს	147	104	43	9	63	 
188-რს	147	104	37	6	63	 
189-რს	147	109	37	1	63	 
190-რს	147	95	52	2	63	 
191-რს	147	92	53	2	63	 
192-რს	147	91	55	1	74	 
193-რს	147	91	56	0	63	 
194-რს	147	92	54	1	63	 
195-რს	147	90	55	2	74	 
202-რს	147	80	67	0	50	 
205-რს	147	90	56	1	50	 
206-რს	147	88	58	1	50	 
209-რს	147	83	63	1	74	 
246-IIს	147	85	62	0	 
260-IIს	147	101	46	0	 
261-IIს	147	97	50	0	 
262-IIს	147	95	52	0	 
263-IIს	147	84	63	0	 
346-IIს	147	86	61	0	 
347-IIს	147	79	68	0	 
348-IIს	147	80	67	0	 
349-IIს	147	81	66	0	 
350-IIს	147	81	66	0	 
351-IIს	147	83	64	0	 
352-IIს	147	79	68	0	 
353-IIს	147	90	57	0	 
354-IIს	147	80	67	0	 
355-IIს	147	84	63	0	 
356-IIს	147	78	69	0	 
357-IIს	147	82	65	0	 
358-IIს	147	73	73	1	 
378-IIს	147	92	55	0	 
379-IIს	147	90	56	1	 
380-IIს	147	92	55	0	 
381-IIს	147	88	58	1	 
382-IIს	147	92	55	0	 
383-IIს	147	88	58	1	 
384-IIს	147	90	57	0	 
386-IIს	147	88	59	0	 
387-IIს	147	85	61	1	 
388-IIს	147	90	57	0	 
448-რს	147	100	101	1	 
449-რს	147	87	57	3	 
450-რს	147	92	54	1	 
451-რს	147	93	53	1	 
452-რს	147	90	56	1	 
453-რს	147	90	57	0	 
454-რს	147	95	52	0	 
455-რს	147	95	51	1	 
456-რს	147	95	52	0	 
457-რს	147	97	50	0	 
458-რს	147	98	49	0	 
459-რს	147	93	54	0	 
460-რს	147	94	53	0	 
461-რს	147	90	57	0	 
462-რს	147	93	54	0	 
463-რს	147	90	57	0	 
464-რს	147	92	55	0	 
465-რს	147	85	62	0	 
466-რს	147	92	55	0	 
467-რს	147	86	61	0	 
468-რს	147	92	55	0	 
469-რს	147	95	52	0	 
470-რს	147	93	54	0	 
471-რს	147	92	55	0	 
472-რს	147	88	59	0	 
473-რს	147	92	55	0	 
474-რს	147	91	56	0	 
475-რს	147	96	51	0	 
476-რს	147	91	56	0	 
477-რს	147	92	55	0	 
478-რს	147	94	53	0	 
479-რს	147	91	56	0	 
480-რს	147	93	54	0	 
481-რს	147	94	53	0	 
482-რს	147	93	54	0	 
483-რს	147	91	56	0	 
484-რს	147	92	55	0	 
485-რს	147	91	56	0	 
486-რს	147	91	56	0	 
487-რს	147	94	53	0	 
488-რს	147	94	53	0	 
489-რს	147	90	57	0	 
490-რს	147	96	51	0	 
491-რს	147	96	51	0	 
492-რს	147	94	53	0	 
493-რს	147	90	57	0	 
494-რს	147	94	52	1	 
495-რს	147	98	49	0	 
496-რს	147	114	33	0	 
518-IIს	147	96	47	4	 
523-IIს	147	89	46	12	 
524-IIს	147	85	47	5	 
525-IIს	147	86	59	2	 
528-IIს	147	78	61	8	 
530-IIს	147	80	64	3	 
546-IIს	147	77	70	0	 
547-IIს	147	74	73	0	 
559-IIს	147	78	69	0	 
560-IIს	147	78	69	0	 
563-IIს	147	80	67	0	 
567-IIს	147	79	68	0	 
580-IIს	147	91	30	26	 
581-IIს	147	91	30	26	 
582-IIს	147	91	32	24	 
583-IIს	147	91	34	22	 
602-IIს	150	83	67	0	 
611-IIს	150	77	73	0	 
617IIს	150	75	75	0	 
618IIს	150	74	76	0	 
649-IIს	150	92	34	24	 
651-IIს	150	92	36	22	 
657-IIს	150	88	62	0	 
660-IIს	150	88	62	0	 
661-IIს	150	86	63	1	 
662-IIს	150	85	64	1	 
663-IIს	150	83	66	1	 
664-IIს	150	83	66	1	 
665-IIს	150	83	66	1	 
666-IIს	150	84	65	1	 
667-IIს	150	86	63	1	 
668-IIს	150	88	61	1	 
669-IIს	150	90	60	0	 
670-IIს	150	85	64	1	 
671-IIს	150	84	65	1	 
672-IIს	150	84	65	1	 
675-IIს	150	86	58	6	 
678IIს	150	84	66	0	 
679IIს	150	85	65	0	 
680IIს	150	85	65	0	 
681IIს	150	89	61	0	 
721-IIს	150	98	52	0	 
722-IIს	150	95	55	0	 
723-IIს	150	86	64	0	 
724-IIს	150	86	64	0	 
725-IIს	150	92	57	1	 
729-IIს	150	91	33	26	 
741-IIს	150	92	25	33	 
780-IIს	150	73	77	0	 
784-IIს	150	73	77	0	 
795-IIს	150	75	75	0	 
798-IIს	150	73	77	0	 
799-IIს	150	73	77	0	 
800-IIს	150	73	77	0	 
802-რს	150	82	67	1	 
803-რს	150	96	54	0	 
816-რს	150	96	51	3	 
817-რს	150	93	56	1	 
818-რს	150	93	57	0	 
819-რს	150	94	55	1	 
822-რს	150	92	58	0	 
823-რს	150	97	53	0	 
824-რს	150	97	53	0	 
825-რს	150	92	58	0	 
826-რს	150	96	53	1	 
833-რს 
834-რს 
837-რს 
843რს	150	82	68	0	 
844რს	150	80	70	0	 
845რს	150	83	67	0	 
847რს	150	80	70	0	 
864რს	150	78	72	0	 
865რს	150	79	71	0	 
866რს	150	74	76	0	 
867რს	150	77	73	0	 
87-რს	147	83	64	0	74	 
877რს	150	83	67	0	 
878-რს	150	82	68	0	 
878რს	150	82	68	0	 
893რს	150	91	58	1	 
894რს	150	89	60	1	 
899რს	150	87	62	1	 
900რს	150	93	56	1	 
901რს	150	93	57	0	 
903რს	150	75	75	0	 
905რს	150	72	75	3	 
906რს	150	81	69	0	 
907რს	150	68	81	1	 
917რს	150	75	61	14	 
918რს	150	74	65	11	 
919რს	150	74	68	8	 
923რს	150	86	64	0	
