ბესელია ეკა	ეკა	ბესელია	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=144:beselia-eka&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44003	79	1	http://ka.wikipedia.org/w/index.php?search=ბესელია%20ეკა	https://twitter.com/search?q=ბესელია%20ეკა	http://www.facebook.com/search.php?q=ბესელია%20ეკა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბესელია%20ეკა 
ბეჟაშვილი ლევან	ლევან	ბეჟაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=245:bezhashvili-levan&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=45979	236	1	http://ka.wikipedia.org/w/index.php?search=ბეჟაშვილი%20ლევან	https://twitter.com/search?q=ბეჟაშვილი%20ლევან	http://www.facebook.com/search.php?q=ბეჟაშვილი%20ლევან	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბეჟაშვილი%20ლევან 
ბეჟუაშვილი დავით	დავით	ბეჟუაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=15:bezhuashvili-david&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46053	238	4	http://ka.wikipedia.org/w/index.php?search=ბეჟუაშვილი%20დავით	https://twitter.com/search?q=ბეჟუაშვილი%20დავით	http://www.facebook.com/search.php?q=ბეჟუაშვილი%20დავით	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბეჟუაშვილი%20დავით 
ბობოხიძე აკაკი	აკაკი	ბობოხიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=16:bobokhidze-akaki&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=45894	224	4	http://ka.wikipedia.org/w/index.php?search=ბობოხიძე%20აკაკი	https://twitter.com/search?q=ბობოხიძე%20აკაკი	http://www.facebook.com/search.php?q=ბობოხიძე%20აკაკი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბობოხიძე%20აკაკი 
ბოკუჩავა თინათინ	თინათინ	ბოკუჩავა	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=196:bokuchava-tinatin&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46340	254	1	http://ka.wikipedia.org/w/index.php?search=ბოკუჩავა%20თინათინ	https://twitter.com/search?q=ბოკუჩავა%20თინათინ	http://www.facebook.com/search.php?q=ბოკუჩავა%20თინათინ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბოკუჩავა%20თინათინ 
ბოლქვაძე ანზორ	ანზორ	ბოლქვაძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=17:bolkvadze-anzor&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=45697	219	4	http://ka.wikipedia.org/w/index.php?search=ბოლქვაძე%20ანზორ	https://twitter.com/search?q=ბოლქვაძე%20ანზორ	http://www.facebook.com/search.php?q=ბოლქვაძე%20ანზორ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბოლქვაძე%20ანზორ 
ბუკია გიგა	გიგა	ბუკია	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=179:bukia-giga&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44005	80	1	http://ka.wikipedia.org/w/index.php?search=ბუკია%20გიგა	https://twitter.com/search?q=ბუკია%20გიგა	http://www.facebook.com/search.php?q=ბუკია%20გიგა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბუკია%20გიგა 
ბუკია გოდერძი	გოდერძი	ბუკია	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=18:bukia-goderdzi&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=45976	232	4	http://ka.wikipedia.org/w/index.php?search=ბუკია%20გოდერძი	https://twitter.com/search?q=ბუკია%20გოდერძი	http://www.facebook.com/search.php?q=ბუკია%20გოდერძი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბუკია%20გოდერძი 
ბუცხრიკიძე კახა	კახა	ბუცხრიკიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=197:butskhrikidze-kakha&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44553	117	1	http://ka.wikipedia.org/w/index.php?search=ბუცხრიკიძე%20კახა	https://twitter.com/search?q=ბუცხრიკიძე%20კახა	http://www.facebook.com/search.php?q=ბუცხრიკიძე%20კახა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ბუცხრიკიძე%20კახა 
გაბაშვილი გიორგი	გიორგი	გაბაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=33:gabashvili-giorgi&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46141	238	4	http://ka.wikipedia.org/w/index.php?search=გაბაშვილი%20გიორგი	https://twitter.com/search?q=გაბაშვილი%20გიორგი	http://www.facebook.com/search.php?q=გაბაშვილი%20გიორგი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გაბაშვილი%20გიორგი 
