<?xml version="1.0" encoding="UTF-8"?>
კუსიანი	რომან	იურიდიულ საკითხთა კომიტეტი	2006-11-02;2006-11-03	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
ნაცვლიშვილი	ნიკოლოზ	იურიდიულ საკითხთა კომიტეტი	2006-11-02;2006-11-03	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
გუნავა	ბეჟან	იურიდიულ საკითხთა კომიტეტი	2006-11-02	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
მკოიანი	ენზელ	იურიდიულ საკითხთა კომიტეტი	2006-11-02	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
გუნცაძე	კონსტანტინე	იურიდიულ საკითხთა კომიტეტი	20063-11-22006-11-;200617-11-162006-11-	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
მოვსესიანი	ჰამლეტ	იურიდიულ საკითხთა კომიტეტი	20063-11-22006-11-;200617-11-162006-11-	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
გზირიშვილი	ლევან	იურიდიულ საკითხთა კომიტეტი	2006-11-03;2006-11-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
მეფარიშვილი	გია	იურიდიულ საკითხთა კომიტეტი	2006-11-16;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
დარასელია	ლაშა	იურიდიულ საკითხთა კომიტეტი	2006-11-16;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
არონია	ნაზი	იურიდიულ საკითხთა კომიტეტი	2006-11-16;2006-11-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
ცაგარეიშვილი	გიორგი	იურიდიულ საკითხთა კომიტეტი	2006-11-16;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
ჩარკვიანი	თეიმურაზ	ევროპასთან ინტეგრაციის კომიტეტი	2008-12-03;2008-12-04	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის დეკემბერი 
სუხიშვილი	კახა	თავდაცვისა და უშიშროების კომიტეტი	2008-12-03	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის დეკემბერი 
ტატიშვილი	გიორგი	თავდაცვისა და უშიშროების კომიტეტი	2008-12-03;2008-12-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის დეკემბერი 
მარტოლეკი	ვახტანგ	თავდაცვისა და უშიშროების კომიტეტი	2008-12-26	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის დეკემბერი 
სანებლიძე	მამუკა	საპროცედურო საკითხთა და წესების კომიტეტი	2008-12-12;2008-12-24;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის დეკემბერი 
ქავთარაძე	თამაზ	ადამიანის უფლებათა დაცვისა და სამოქალაქო ინტეგრაციის კომიტეტი	2008-03-07	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
გვარამაძე	ირაკლი	თავდაცვისა და უშიშროების კომიტეტი	2008-03-07	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
ხურციძე	ბეჟან	თავდაცვისა და უშიშროების კომიტეტი	2008-03-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
რაისიანი	მელიქ	ევროპასთან ინტეგრაციის კომიტეტი	2008-03-06;2008-03-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
პატარკაციშვილი	ნანა	ევროპასთან ინტეგრაციის კომიტეტი	2008-03-06	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
კოსტავა	ზურაბ	ევროპასთან ინტეგრაციის კომიტეტი	2008-03-06	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
მენაბდე	ალექსანდრე	ევროპასთან ინტეგრაციის კომიტეტი	2008-03-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
რუსია	კახაბერ	იურიდიულ საკითხთა კომიტეტი	200811-03-62008-03-;2008-03-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
გზირიშვილი	ლევან	იურიდიულ საკითხთა კომიტეტი	2008-03-11	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
მეფარიშვილი	გია	იურიდიულ საკითხთა კომიტეტი	2008-03-11	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
კუსიანი	რომან	იურიდიულ საკითხთა კომიტეტი	2008-03-11;2008-03-20	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
მოვსესინი	ჰამლეტ	იურიდიულ საკითხთა კომიტეტი	2008-03-13	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
სანებლიძე	მამუკა	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	2008-03-14	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის მარტი 
გოგუაძე	გია	დარგობრივი ეკონომიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2008-11-13	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
კურდღელაშვილი	კობა	დარგობრივი ეკონომიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2008-11-13	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ოქრიაშვილი	კახაბერ	დარგობრივი ეკონომიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2008-11-13	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
როინიშვილი	გიორგი	ევროპასთან ინტეგრაციის კომიტეტი	2008-11-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
რურუა	ნიკოლოზ	ევროპასთან ინტეგრაციის კომიტეტი	2008-11-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ქიტიაშვილი	სერგო	ევროპასთან ინტეგრაციის კომიტეტი	2008-11-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ტალახაძე	გიორგი	თავდაცვისა და უშიშროების კომიტეტი	2008-11-27	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
დიასამიძე	თამაზ	იურიდიულ საკითხთა კომიტეტი	2008-11-20	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ვერულაშვილი	მარიკა	იურიდიულ საკითხთა კომიტეტი	2008-11-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ჰოვანესიანი	არუტიუნი	იურიდიულ საკითხთა კომიტეტი	2008-11-20	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ბუკია	გოდერძი	საგარეო ურთიერთობათა კომიტეტი	2008-11-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ქუთათელაძე	სამსონ	საგარეო ურთიერთობათა კომიტეტი	2008-11-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
დავითაია	პაატა	საგარეო ურთიერთობათა კომიტეტი	2008-11-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ნაყოფია	კობა	სპორტისა და ახალგაზრდულ საქმეთა კომიტეტი	2008-11-26;2008-11-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
ახვლედიანი	გიორგი	უცხოეთში მცხოვრებ თანამემამულეებთან ურთიერთობის კომიტეტი	2008-11-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ნოემბერი 
როინიშვილი	გიორგი	ევროპასთან ინტეგრაციის კომიტეტი	2008-10-22	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
გოდაბრელიძე	გიორგი	ევროპასთან ინტეგრაციის კომიტეტი	2008-10-31	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
არსოშვილი	ზურაბ	თავდაცვისა და უშიშროების კომიტეტი	2008-10-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
სუხიშვილი	კახა	თავდაცვისა და უშიშროების კომიტეტი	2008-10-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
კურდღელაშვილი	კობა	დარგობრივი ეკონომიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2008-10-16	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
ოვაშვილი	დევი	დარგობრივი ეკონომიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2008-10-16;2008-10-30	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
ოქრიაშვილი	კახაბერ	დარგობრივი ეკონომიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2008-10-30	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
ნაყოფია	კობა	სპორტისა და ახალგაზრდულ საქმეთა კომიტეტი	2008-10-30	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
